UsuarioID,TIPO_CLIENTE_BEME,SEGMENTO_BEME,NANO_SEGMENTO,MICRO_SEGMENTO,MODULO,ZONA,CTA_CTA_BIPERSONAL,CTA_CTA_UNIPERSONAL,CUENTA_PROVEEDOR,CUENTA_RUT,CUENTA_EMPRENDEDOR,CAJA_VECINA,CHEQ_MICROEMPRESA,CHEQ_OTRA,CTA_CTE_OTRA,LINEA_DE_CREDITO,TARJETA,EDAD,COMPORTAMIENTO_SBIF,COMPORTAMIENTO_BEME,SEXO,TIPO_PERSONA,TIPO_SOCIEDAD_CRITERIO_BEME,TRX_APP,TRX_BATCH,TRX_BECO,TRX_Buzonera,TRX_Caja,TRX_Caja_Vecina,TRX_Cajero_Automatico,TRX_Dispensadores,TRX_FALABELLA,TRX_Internet,TRX_Meson,TRX_MYPE,TRX_RedBanc,TRX_RedCompra,TRX_ServiEstado,Uso_Digital_3M,Uso_Web_3M,Uso_App_3M,Uso_Digital_Anual,Uso_Web_Anual,Uso_App_Anual,Con_Clave_Atm,Con_Clave_INET,Hab_BIPass,PERFIL_RIESGO,INF_COMERCIAL,GRP_PROPENSION,TIPO_CLIENTE,TIENE_PREAP,CANAL
677,Microempresas,Transporte,Segmento A,Segmento B,Region 2,Zona 3,1,1,0,0,0,1,1,0,1,0,1,34,Regular,Malo,M,2,Sociedad,77,67,33,80,42,35,90,72,57,67,79,64,88,89,27,1,1,0,0,1,1,0,0,0,Bueno,CON OBSERVACIONES-EVALUABLE,[2]Media_Propension,Castigado o Sin Producto,NO,
678,deudor comercial,Transporte,Segmento A,Segmento B,Region 2,Zona 3,0,1,1,0,1,0,1,1,0,1,0,53,Bueno,Regular,F,1,SPA,75,90,62,8,15,59,49,84,98,75,40,49,49,79,94,0,0,1,0,1,0,1,0,1,Malo,NO SUJETO DE CREDITO,[2]Media_Propension,Castigado o Sin Producto,NO,SALESFORCE -WEB
679,deudor no comercial,Transporte,Segmento C,Segmento A,Region 1,Zona 1,0,1,1,1,1,0,0,0,0,0,0,70,Malo,Regular,F,2,Sociedad,39,34,28,51,34,46,0,26,51,71,99,91,5,26,31,1,0,1,0,0,0,1,1,1,Malo,NO SUJETO DE CREDITO,[1]Alta_Propension,Castigado o Sin Producto,NO,RED SUCURSALES
680,Microempresas,Transporte,Segmento A,Segmento B,Region 3,Zona 3,0,0,0,1,0,1,0,1,1,0,1,33,Regular,Bueno,M,1,Federacion,59,82,44,42,4,84,76,69,15,87,76,13,65,68,89,1,1,1,0,1,1,0,0,0,Malo,SUJETO DE CREDITO-EVALUABLE,[3]Baja_Propension,Cliente No Financiado,SI,
681,deudor no comercial,Comercial,Segmento C,Segmento A,Region 2,Zona 2,1,0,0,0,1,0,0,0,1,0,1,48,Malo,Regular,F,2,Cooperativas,48,4,70,16,42,34,6,85,48,51,51,94,78,82,64,0,1,0,0,0,1,1,0,1,Malo,SUJETO DE CREDITO-EVALUABLE,[2]Media_Propension,Cliente No Financiado,NO,VENTA CENTRALIZADA
682,Microempresas,Comercial,Segmento C,Segmento B,Region 1,Zona 1,1,0,0,1,1,0,1,1,0,0,0,55,Malo,Malo,F,2,SPA,74,80,74,68,75,54,8,61,48,73,25,32,12,62,82,1,1,0,0,1,0,0,1,1,Malo,CON OBSERVACIONES-EVALUABLE,[3]Baja_Propension,Cliente No Financiado,NO,RED SUCURSALES
683,deudor comercial,Comercial,Segmento A,Segmento B,Region 1,Zona 3,0,0,1,1,1,0,1,1,0,0,1,44,Malo,Bueno,M,2,Federacion,96,12,0,41,1,80,30,64,8,39,84,57,3,76,85,0,0,1,1,0,1,1,1,0,Bueno,SUJETO DE CREDITO-EVALUABLE,[2]Media_Propension,Castigado o Sin Producto,SI,VENTA CENTRALIZADA
684,deudor comercial,Transporte,Segmento C,Segmento B,Region 2,Zona 2,0,1,1,0,1,1,0,0,0,1,0,36,Bueno,Regular,F,1,Sociedad,46,29,78,53,78,13,99,88,95,51,5,6,79,36,63,0,0,1,0,1,0,1,0,0,Bueno,SUJETO DE CREDITO-EVALUABLE,[3]Baja_Propension,Cliente Finaciado,SI,SALESFORCE - CCL
685,deudor no comercial,Turismo,Segmento C,Segmento A,Region 1,Zona 3,1,0,1,1,0,1,0,0,0,1,1,53,Regular,Regular,F,1,Federacion,20,90,75,15,94,7,99,20,38,82,19,55,37,36,41,0,0,1,1,0,1,1,1,0,Bueno,NO SUJETO DE CREDITO,[1]Alta_Propension,Cliente No Financiado,NO,
686,deudor no comercial,Comercial,Segmento B,Segmento C,Region 2,Zona 2,0,0,1,1,0,0,0,0,1,0,0,62,Bueno,Bueno,M,1,Sociedad,25,33,95,30,70,96,74,62,84,92,90,50,4,98,27,1,1,0,1,0,0,0,1,0,Excelente,SUJETO DE CREDITO-EVALUABLE,[3]Baja_Propension,Castigado o Sin Producto,SI,SALESFORCE -WEB
687,deudor comercial,Transporte,Segmento C,Segmento B,Region 3,Zona 2,0,0,0,1,1,0,0,1,1,0,0,41,Regular,Regular,M,1,SPA,70,58,23,7,99,80,94,37,10,28,19,43,21,78,11,1,0,0,1,1,1,1,0,1,Excelente,NO SUJETO DE CREDITO,[1]Alta_Propension,Cliente Finaciado,NO,SALESFORCE -WEB
688,deudor no comercial,Comercial,Segmento B,Segmento A,Region 2,Zona 2,1,1,0,0,1,0,0,1,1,1,1,59,Regular,Regular,F,2,SPA,77,52,72,51,97,92,20,32,16,17,41,39,81,57,83,1,1,1,1,1,0,0,0,1,Bueno,SUJETO DE CREDITO-EVALUABLE,[1]Alta_Propension,Castigado o Sin Producto,SI,VENTA CENTRALIZADA
689,deudor no comercial,Turismo,Segmento B,Segmento A,Region 3,Zona 3,0,0,0,1,0,0,1,1,0,0,0,52,Bueno,Regular,F,2,Cooperativas,81,30,8,75,83,33,26,51,79,74,90,6,39,75,22,0,1,1,0,0,0,0,0,1,Bueno,CON OBSERVACIONES-EVALUABLE,[2]Media_Propension,Cliente Finaciado,SI,VENTA CENTRALIZADA
690,deudor comercial,Transporte,Segmento B,Segmento C,Region 2,Zona 2,1,0,0,0,0,1,1,0,1,1,1,38,Malo,Malo,F,1,SPA,36,95,46,43,22,80,53,41,19,17,29,29,60,57,85,0,0,1,1,1,0,1,1,0,Malo,CON OBSERVACIONES-EVALUABLE,[3]Baja_Propension,Cliente No Financiado,NO,VENTA CENTRALIZADA
691,deudor comercial,Transporte,Segmento A,Segmento A,Region 1,Zona 3,1,0,1,0,1,1,1,1,0,0,1,74,Bueno,Malo,F,1,Cooperativas,64,61,23,30,59,50,74,89,23,77,9,21,6,38,43,0,0,0,1,1,0,1,1,1,Excelente,CON OBSERVACIONES-EVALUABLE,[3]Baja_Propension,Castigado o Sin Producto,NO,RED SUCURSALES
692,Microempresas,Comercial,Segmento A,Segmento B,Region 2,Zona 1,1,0,0,0,0,1,0,1,1,0,1,44,Bueno,Malo,M,1,Sindicatos,43,97,29,34,31,90,94,41,3,52,1,16,70,0,12,0,0,1,0,0,0,1,1,0,Bueno,NO SUJETO DE CREDITO,[2]Media_Propension,Cliente No Financiado,SI,SALESFORCE -WEB
693,Microempresas,Comercial,Segmento A,Segmento A,Region 2,Zona 3,1,1,0,0,1,0,0,1,1,1,0,52,Bueno,Regular,F,2,Cooperativas,81,15,85,2,43,40,48,65,49,76,37,55,82,12,6,1,0,0,0,1,1,0,1,1,Malo,CON OBSERVACIONES-EVALUABLE,[1]Alta_Propension,Castigado o Sin Producto,NO,SALESFORCE - CCL
694,Microempresas,Comercial,Segmento B,Segmento C,Region 1,Zona 1,1,1,1,0,1,1,0,0,0,1,1,54,Malo,Regular,F,2,Cooperativas,82,31,33,61,0,54,23,24,91,54,28,83,96,81,34,0,0,1,0,1,0,1,1,0,Excelente,CON OBSERVACIONES-EVALUABLE,[1]Alta_Propension,Cliente No Financiado,NO,SALESFORCE -WEB
695,deudor comercial,Comercial,Segmento A,Segmento B,Region 2,Zona 2,0,0,1,1,1,0,1,0,1,0,1,19,Malo,Regular,F,2,Federacion,25,21,96,8,90,32,47,47,91,13,55,21,42,28,13,0,0,1,0,0,0,0,1,1,Bueno,CON OBSERVACIONES-EVALUABLE,[1]Alta_Propension,Castigado o Sin Producto,SI,RED SUCURSALES
696,Microempresas,Transporte,Segmento A,Segmento B,Region 1,Zona 1,1,0,0,1,1,1,0,0,0,1,0,37,Malo,Regular,M,2,Federacion,84,64,39,37,10,35,45,38,59,45,32,76,83,68,27,0,1,1,0,0,0,1,0,1,Malo,CON OBSERVACIONES-EVALUABLE,[1]Alta_Propension,Castigado o Sin Producto,SI,VENTA CENTRALIZADA
697,Microempresas,Comercial,Segmento A,Segmento A,Region 1,Zona 1,1,0,1,0,1,1,0,1,0,1,1,63,Malo,Regular,M,2,Cooperativas,64,78,42,67,30,21,32,82,2,45,31,40,16,59,65,1,0,0,1,0,0,1,1,1,Excelente,CON OBSERVACIONES-EVALUABLE,[1]Alta_Propension,Castigado o Sin Producto,NO,VENTA CENTRALIZADA
698,Microempresas,Turismo,Segmento C,Segmento B,Region 2,Zona 1,0,0,1,1,1,0,0,0,0,1,0,46,Regular,Malo,F,1,Federacion,54,83,68,67,52,51,65,16,19,3,17,46,68,64,83,1,1,1,0,0,1,1,1,0,Malo,NO SUJETO DE CREDITO,[1]Alta_Propension,Cliente No Financiado,NO,RED SUCURSALES
699,deudor comercial,Comercial,Segmento C,Segmento C,Region 2,Zona 2,1,1,0,0,1,0,1,1,1,0,0,20,Regular,Regular,F,1,SPA,90,52,0,2,43,49,85,89,80,19,46,21,52,40,13,1,0,0,1,0,1,1,0,0,Malo,SUJETO DE CREDITO-EVALUABLE,[3]Baja_Propension,Castigado o Sin Producto,NO,
700,deudor comercial,Comercial,Segmento B,Segmento B,Region 3,Zona 1,0,0,1,1,1,1,1,1,1,1,1,50,Malo,Regular,M,2,Federacion,53,9,76,77,29,70,83,94,69,52,87,16,75,41,13,0,1,1,1,0,1,0,1,1,Malo,SUJETO DE CREDITO-EVALUABLE,[1]Alta_Propension,Castigado o Sin Producto,NO,SALESFORCE -WEB
701,Microempresas,Turismo,Segmento A,Segmento B,Region 2,Zona 1,0,0,0,0,0,0,1,1,1,1,0,22,Malo,Bueno,M,1,Cooperativas,45,2,31,80,75,0,37,84,15,50,14,73,68,68,66,0,1,0,1,1,0,1,0,1,Bueno,NO SUJETO DE CREDITO,[3]Baja_Propension,Cliente Finaciado,SI,VENTA CENTRALIZADA
702,deudor comercial,Turismo,Segmento C,Segmento C,Region 1,Zona 2,1,1,0,0,1,0,1,1,0,1,1,61,Malo,Malo,M,2,SPA,2,50,42,4,93,43,49,60,46,32,69,14,74,12,51,1,0,1,1,1,1,1,0,0,Bueno,CON OBSERVACIONES-EVALUABLE,[3]Baja_Propension,Castigado o Sin Producto,SI,RED SUCURSALES
703,deudor no comercial,Turismo,Segmento A,Segmento C,Region 1,Zona 3,0,0,1,0,1,0,1,1,0,0,1,54,Malo,Regular,M,1,Sindicatos,19,14,46,10,30,56,72,51,62,26,21,8,4,30,8,0,0,0,1,1,0,1,0,1,Excelente,CON OBSERVACIONES-EVALUABLE,[2]Media_Propension,Castigado o Sin Producto,NO,RED SUCURSALES
704,deudor no comercial,Transporte,Segmento A,Segmento C,Region 1,Zona 2,1,1,1,0,1,0,1,1,1,0,0,37,Malo,Regular,M,1,Cooperativas,22,55,40,77,38,32,29,0,34,50,49,91,13,3,57,0,0,0,0,1,1,1,1,0,Bueno,SUJETO DE CREDITO-EVALUABLE,[1]Alta_Propension,Castigado o Sin Producto,NO,VENTA CENTRALIZADA
705,deudor no comercial,Transporte,Segmento B,Segmento C,Region 2,Zona 3,1,1,1,0,1,1,0,1,0,0,0,52,Malo,Malo,M,1,Sindicatos,36,68,91,31,57,89,77,41,81,85,48,47,67,80,20,1,1,1,0,1,1,1,0,0,Malo,CON OBSERVACIONES-EVALUABLE,[1]Alta_Propension,Castigado o Sin Producto,NO,VENTA CENTRALIZADA
706,Microempresas,Comercial,Segmento A,Segmento C,Region 3,Zona 3,1,0,0,0,0,1,1,1,0,0,0,39,Regular,Malo,M,2,Sindicatos,47,82,25,79,78,33,91,88,68,87,11,59,51,57,60,1,0,0,1,1,1,0,0,0,Malo,CON OBSERVACIONES-EVALUABLE,[1]Alta_Propension,Cliente Finaciado,NO,
707,Microempresas,Transporte,Segmento B,Segmento C,Region 3,Zona 1,0,0,0,0,1,1,1,1,1,1,0,42,Malo,Regular,F,2,Sociedad,84,50,64,94,58,68,53,43,69,85,58,87,44,93,36,0,1,0,1,0,1,1,1,0,Excelente,CON OBSERVACIONES-EVALUABLE,[3]Baja_Propension,Cliente Finaciado,SI,SALESFORCE - CCL
708,Microempresas,Transporte,Segmento B,Segmento A,Region 3,Zona 1,0,0,0,1,1,1,1,0,1,0,1,44,Malo,Malo,F,1,Sindicatos,73,21,34,2,7,82,37,23,36,0,24,27,14,58,78,1,1,1,1,0,0,1,1,0,Bueno,NO SUJETO DE CREDITO,[2]Media_Propension,Cliente No Financiado,SI,SALESFORCE -WEB
709,deudor comercial,Comercial,Segmento B,Segmento A,Region 1,Zona 2,1,1,1,0,0,1,1,0,0,1,0,47,Malo,Malo,F,1,Cooperativas,84,54,82,40,15,95,24,2,84,79,16,78,26,82,93,0,1,1,1,1,1,0,0,0,Bueno,CON OBSERVACIONES-EVALUABLE,[3]Baja_Propension,Castigado o Sin Producto,NO,
710,deudor no comercial,Transporte,Segmento A,Segmento B,Region 1,Zona 1,1,1,0,0,1,1,1,1,1,0,0,71,Malo,Bueno,F,2,Cooperativas,28,16,95,23,58,32,59,30,4,38,66,53,64,86,49,1,1,1,1,0,1,0,1,1,Excelente,NO SUJETO DE CREDITO,[3]Baja_Propension,Cliente No Financiado,SI,
711,deudor no comercial,Transporte,Segmento B,Segmento A,Region 1,Zona 1,1,1,0,0,1,0,0,1,0,0,1,26,Malo,Bueno,F,2,Sindicatos,83,14,47,48,44,64,63,62,39,72,83,89,5,88,71,0,0,0,1,1,1,1,0,0,Malo,SUJETO DE CREDITO-EVALUABLE,[2]Media_Propension,Cliente No Financiado,NO,SALESFORCE - CCL
712,deudor no comercial,Transporte,Segmento A,Segmento A,Region 3,Zona 1,1,0,1,1,1,0,0,1,1,1,0,37,Bueno,Malo,M,2,Cooperativas,87,13,24,49,35,98,18,59,81,77,99,16,47,20,71,1,1,1,0,0,1,1,0,1,Bueno,CON OBSERVACIONES-EVALUABLE,[1]Alta_Propension,Cliente No Financiado,NO,RED SUCURSALES
713,Microempresas,Turismo,Segmento B,Segmento C,Region 1,Zona 3,1,0,1,1,0,1,1,0,1,1,0,31,Regular,Regular,F,2,Cooperativas,75,38,89,38,59,39,65,99,84,94,26,28,17,22,98,1,0,0,0,0,1,1,1,0,Excelente,CON OBSERVACIONES-EVALUABLE,[2]Media_Propension,Cliente No Financiado,SI,SALESFORCE -WEB
714,Microempresas,Comercial,Segmento C,Segmento A,Region 3,Zona 1,0,0,0,0,1,1,1,0,1,1,1,57,Regular,Regular,F,2,SPA,28,51,63,34,21,59,69,37,35,38,46,46,24,17,34,1,0,1,0,0,0,0,0,1,Malo,CON OBSERVACIONES-EVALUABLE,[1]Alta_Propension,Cliente No Financiado,SI,SALESFORCE -WEB
715,deudor comercial,Comercial,Segmento A,Segmento B,Region 1,Zona 3,1,0,0,0,0,1,0,0,0,1,1,19,Malo,Regular,M,1,Sindicatos,3,6,33,21,19,0,83,41,26,23,41,84,93,70,92,0,0,0,1,1,0,0,0,1,Bueno,SUJETO DE CREDITO-EVALUABLE,[1]Alta_Propension,Cliente No Financiado,NO,RED SUCURSALES
716,deudor no comercial,Comercial,Segmento A,Segmento A,Region 1,Zona 1,0,1,1,1,1,0,1,0,1,1,1,19,Regular,Malo,F,1,Cooperativas,0,39,49,43,43,89,55,67,49,43,89,2,86,4,54,1,1,0,1,0,1,1,1,0,Malo,SUJETO DE CREDITO-EVALUABLE,[2]Media_Propension,Castigado o Sin Producto,NO,SALESFORCE -WEB
717,deudor no comercial,Transporte,Segmento B,Segmento C,Region 1,Zona 2,1,1,0,1,0,1,0,0,0,0,0,59,Bueno,Regular,M,2,Federacion,84,42,40,13,19,91,42,65,70,1,68,78,30,70,39,1,1,1,0,1,0,1,0,1,Malo,CON OBSERVACIONES-EVALUABLE,[1]Alta_Propension,Cliente No Financiado,NO,VENTA CENTRALIZADA
718,Microempresas,Transporte,Segmento C,Segmento C,Region 2,Zona 3,1,1,1,0,0,1,1,0,1,1,1,66,Bueno,Regular,F,2,SPA,97,78,32,0,3,50,97,34,52,60,18,28,83,53,7,1,1,1,1,1,1,1,0,1,Excelente,CON OBSERVACIONES-EVALUABLE,[2]Media_Propension,Cliente No Financiado,SI,VENTA CENTRALIZADA
719,deudor no comercial,Comercial,Segmento A,Segmento A,Region 2,Zona 3,1,1,0,0,1,0,1,1,1,0,0,46,Regular,Bueno,M,1,SPA,83,43,75,20,20,50,10,84,89,79,66,89,86,24,7,0,1,1,0,0,0,0,0,1,Malo,CON OBSERVACIONES-EVALUABLE,[3]Baja_Propension,Castigado o Sin Producto,NO,SALESFORCE - CCL
720,deudor comercial,Comercial,Segmento B,Segmento A,Region 3,Zona 3,1,1,1,0,1,0,1,1,1,1,1,38,Regular,Malo,F,1,Sindicatos,22,88,92,23,69,98,80,30,39,15,52,62,41,9,15,1,1,0,0,0,0,1,0,0,Bueno,CON OBSERVACIONES-EVALUABLE,[1]Alta_Propension,Cliente No Financiado,SI,SALESFORCE -WEB
721,deudor comercial,Transporte,Segmento B,Segmento A,Region 2,Zona 3,0,0,1,1,0,1,0,1,0,0,1,61,Bueno,Regular,F,2,Federacion,29,69,91,27,17,38,82,32,66,89,28,44,68,76,7,0,1,1,1,0,0,0,1,0,Excelente,SUJETO DE CREDITO-EVALUABLE,[3]Baja_Propension,Cliente Finaciado,SI,SALESFORCE -WEB
722,deudor comercial,Comercial,Segmento A,Segmento B,Region 3,Zona 2,1,0,1,1,0,0,1,1,1,1,0,50,Regular,Malo,M,2,Sindicatos,21,81,77,99,94,40,2,22,51,44,34,95,95,24,55,0,1,0,1,1,0,0,1,1,Bueno,NO SUJETO DE CREDITO,[2]Media_Propension,Cliente Finaciado,NO,RED SUCURSALES
723,Microempresas,Transporte,Segmento C,Segmento B,Region 3,Zona 2,1,1,1,1,0,1,0,0,0,1,0,73,Malo,Regular,F,1,Federacion,0,31,23,8,72,76,1,98,2,72,64,85,64,11,6,0,0,0,0,0,0,1,0,1,Bueno,SUJETO DE CREDITO-EVALUABLE,[1]Alta_Propension,Cliente Finaciado,NO,SALESFORCE - CCL
724,Microempresas,Comercial,Segmento A,Segmento B,Region 1,Zona 1,1,0,0,0,0,1,0,0,1,0,1,59,Malo,Bueno,M,1,Cooperativas,27,98,18,80,71,52,23,25,24,96,12,44,68,67,85,1,1,1,1,0,0,0,0,1,Malo,SUJETO DE CREDITO-EVALUABLE,[2]Media_Propension,Cliente No Financiado,SI,SALESFORCE - CCL
725,Microempresas,Transporte,Segmento C,Segmento A,Region 1,Zona 3,1,1,1,1,0,0,1,1,0,0,1,40,Bueno,Malo,M,1,Sindicatos,93,0,43,49,73,29,21,57,74,13,64,42,6,4,73,0,1,0,0,1,1,0,0,1,Malo,NO SUJETO DE CREDITO,[1]Alta_Propension,Cliente No Financiado,SI,SALESFORCE -WEB
726,deudor no comercial,Turismo,Segmento B,Segmento B,Region 2,Zona 2,1,1,0,0,1,0,0,1,0,1,0,26,Malo,Bueno,M,1,Sindicatos,56,34,83,19,57,43,9,28,67,64,13,63,31,91,15,1,0,1,1,1,0,1,0,1,Excelente,NO SUJETO DE CREDITO,[1]Alta_Propension,Cliente Finaciado,NO,
727,Microempresas,Transporte,Segmento B,Segmento C,Region 2,Zona 2,0,0,0,1,1,1,1,0,0,0,1,23,Bueno,Bueno,M,2,Cooperativas,78,89,46,52,25,64,32,48,40,61,85,92,85,84,38,1,0,0,0,0,0,1,1,0,Bueno,NO SUJETO DE CREDITO,[2]Media_Propension,Cliente Finaciado,SI,RED SUCURSALES
728,Microempresas,Comercial,Segmento B,Segmento B,Region 3,Zona 3,1,0,1,0,1,1,0,1,1,1,0,65,Regular,Malo,F,2,SPA,69,10,55,11,52,79,74,7,29,82,12,39,7,45,5,0,1,1,0,1,0,0,0,1,Malo,CON OBSERVACIONES-EVALUABLE,[1]Alta_Propension,Cliente No Financiado,NO,VENTA CENTRALIZADA
729,deudor no comercial,Transporte,Segmento A,Segmento A,Region 3,Zona 3,1,1,0,1,0,1,0,0,1,0,0,51,Malo,Malo,F,2,Federacion,61,49,12,13,31,94,39,64,78,72,86,75,27,69,94,1,1,0,0,1,0,1,0,0,Bueno,NO SUJETO DE CREDITO,[3]Baja_Propension,Cliente Finaciado,NO,SALESFORCE - CCL
730,deudor no comercial,Turismo,Segmento B,Segmento A,Region 2,Zona 3,0,0,1,0,0,1,0,1,1,0,1,39,Regular,Regular,F,1,Sociedad,91,22,80,11,56,59,65,35,39,26,86,94,11,20,11,0,0,1,0,1,1,0,1,1,Excelente,SUJETO DE CREDITO-EVALUABLE,[2]Media_Propension,Castigado o Sin Producto,SI,
731,deudor no comercial,Turismo,Segmento A,Segmento C,Region 2,Zona 2,0,0,0,1,1,1,0,1,1,0,0,64,Malo,Regular,M,2,Sociedad,97,40,76,67,2,3,70,91,67,53,75,16,87,53,62,0,1,1,1,1,1,0,0,0,Malo,SUJETO DE CREDITO-EVALUABLE,[2]Media_Propension,Cliente Finaciado,SI,VENTA CENTRALIZADA
732,deudor comercial,Transporte,Segmento A,Segmento A,Region 2,Zona 2,1,0,0,1,0,0,1,1,0,0,0,37,Regular,Regular,M,1,Cooperativas,40,87,20,99,97,21,16,0,98,3,55,6,41,65,97,0,1,0,0,1,0,0,0,0,Bueno,CON OBSERVACIONES-EVALUABLE,[1]Alta_Propension,Cliente Finaciado,NO,VENTA CENTRALIZADA
733,deudor comercial,Comercial,Segmento A,Segmento B,Region 1,Zona 3,1,0,1,1,1,1,1,1,1,0,1,69,Bueno,Bueno,M,2,SPA,25,33,19,18,30,68,37,9,62,21,34,40,87,97,70,1,1,1,0,0,0,1,0,1,Excelente,CON OBSERVACIONES-EVALUABLE,[1]Alta_Propension,Cliente No Financiado,NO,VENTA CENTRALIZADA
734,deudor no comercial,Transporte,Segmento C,Segmento B,Region 3,Zona 2,1,1,0,1,0,1,0,0,1,1,1,45,Regular,Malo,F,1,Federacion,89,89,38,17,33,35,37,63,23,96,41,77,7,34,58,0,0,1,0,0,1,1,1,1,Bueno,CON OBSERVACIONES-EVALUABLE,[1]Alta_Propension,Cliente Finaciado,NO,
735,deudor no comercial,Comercial,Segmento C,Segmento C,Region 2,Zona 2,0,1,0,1,0,0,1,0,1,1,1,28,Regular,Malo,M,2,Federacion,91,1,22,80,18,6,73,36,67,56,90,58,56,87,26,0,0,0,0,0,0,1,1,1,Excelente,CON OBSERVACIONES-EVALUABLE,[3]Baja_Propension,Castigado o Sin Producto,SI,VENTA CENTRALIZADA
736,Microempresas,Comercial,Segmento C,Segmento B,Region 2,Zona 2,0,0,0,1,0,1,1,1,1,1,0,55,Regular,Regular,M,2,Sindicatos,55,82,71,82,60,81,78,10,52,26,63,71,83,26,70,0,0,1,1,1,1,1,1,0,Bueno,SUJETO DE CREDITO-EVALUABLE,[2]Media_Propension,Castigado o Sin Producto,NO,RED SUCURSALES
737,Microempresas,Comercial,Segmento A,Segmento C,Region 3,Zona 2,0,0,0,1,0,0,1,1,0,0,1,29,Bueno,Malo,M,2,Sociedad,29,24,64,37,2,33,7,25,62,79,2,53,48,82,61,1,1,0,1,0,0,1,0,0,Malo,CON OBSERVACIONES-EVALUABLE,[1]Alta_Propension,Cliente No Financiado,NO,SALESFORCE -WEB
738,Microempresas,Comercial,Segmento C,Segmento A,Region 3,Zona 2,1,0,1,0,0,0,0,1,1,1,1,26,Bueno,Bueno,M,2,Cooperativas,67,93,93,91,37,80,61,17,38,73,59,9,3,10,12,0,0,0,1,0,0,1,1,1,Malo,CON OBSERVACIONES-EVALUABLE,[3]Baja_Propension,Castigado o Sin Producto,SI,RED SUCURSALES
739,Microempresas,Comercial,Segmento C,Segmento B,Region 1,Zona 3,1,0,1,0,0,1,1,1,1,1,0,46,Malo,Regular,M,1,Cooperativas,63,95,56,1,62,81,56,16,31,69,96,19,54,43,88,1,0,1,0,0,1,1,1,1,Excelente,CON OBSERVACIONES-EVALUABLE,[3]Baja_Propension,Cliente No Financiado,NO,RED SUCURSALES
740,deudor comercial,Comercial,Segmento C,Segmento B,Region 1,Zona 1,0,1,1,1,0,0,1,0,1,1,1,49,Bueno,Malo,M,1,Sindicatos,61,75,43,0,91,6,14,35,47,89,23,40,75,29,44,0,0,1,0,0,1,1,1,0,Bueno,NO SUJETO DE CREDITO,[2]Media_Propension,Cliente No Financiado,SI,
741,deudor comercial,Comercial,Segmento A,Segmento C,Region 2,Zona 3,0,0,0,0,1,0,1,0,0,1,1,44,Malo,Malo,F,1,Cooperativas,48,86,92,15,35,36,34,98,97,63,94,44,82,16,58,1,0,1,1,0,0,1,0,0,Malo,CON OBSERVACIONES-EVALUABLE,[3]Baja_Propension,Cliente Finaciado,NO,RED SUCURSALES
742,deudor no comercial,Transporte,Segmento B,Segmento B,Region 2,Zona 3,0,0,1,1,1,0,0,1,1,1,1,67,Malo,Malo,M,1,Cooperativas,78,10,29,69,15,52,22,93,98,71,26,53,23,17,28,0,0,0,0,1,0,1,0,1,Excelente,SUJETO DE CREDITO-EVALUABLE,[1]Alta_Propension,Cliente Finaciado,SI,RED SUCURSALES
743,deudor no comercial,Comercial,Segmento B,Segmento C,Region 2,Zona 1,1,1,1,0,1,0,0,1,1,0,0,25,Bueno,Regular,F,1,SPA,32,9,84,82,28,13,40,44,87,34,85,95,32,5,29,1,0,0,0,1,0,0,0,0,Malo,NO SUJETO DE CREDITO,[1]Alta_Propension,Cliente Finaciado,NO,SALESFORCE -WEB
744,deudor comercial,Turismo,Segmento B,Segmento C,Region 2,Zona 2,1,1,1,1,0,0,0,1,0,0,0,67,Bueno,Regular,F,2,Cooperativas,24,32,41,32,86,53,67,74,45,81,40,62,83,99,77,1,0,1,1,1,1,0,0,0,Malo,SUJETO DE CREDITO-EVALUABLE,[1]Alta_Propension,Castigado o Sin Producto,NO,
745,Microempresas,Turismo,Segmento A,Segmento B,Region 2,Zona 1,1,1,1,0,1,0,0,0,1,1,1,60,Regular,Bueno,M,2,Federacion,85,95,96,92,92,81,54,24,30,85,56,47,54,3,0,0,1,1,1,1,1,0,1,1,Excelente,SUJETO DE CREDITO-EVALUABLE,[3]Baja_Propension,Castigado o Sin Producto,NO,SALESFORCE - CCL
746,deudor no comercial,Comercial,Segmento C,Segmento A,Region 1,Zona 1,0,1,1,0,1,1,1,0,0,0,1,72,Malo,Bueno,F,1,Sociedad,75,4,49,39,32,66,93,48,89,98,48,43,41,88,25,1,0,0,1,1,0,0,0,0,Malo,NO SUJETO DE CREDITO,[3]Baja_Propension,Cliente Finaciado,SI,SALESFORCE -WEB
747,deudor no comercial,Transporte,Segmento C,Segmento A,Region 3,Zona 1,0,1,1,1,1,0,0,1,1,1,0,43,Bueno,Regular,M,1,Cooperativas,2,19,30,13,40,79,99,90,88,29,14,14,49,86,45,0,0,0,0,1,1,0,1,0,Bueno,NO SUJETO DE CREDITO,[3]Baja_Propension,Cliente No Financiado,SI,VENTA CENTRALIZADA
748,deudor no comercial,Transporte,Segmento B,Segmento A,Region 2,Zona 1,0,1,0,0,0,0,0,1,1,0,0,50,Regular,Bueno,F,1,SPA,7,18,86,13,16,67,65,3,22,61,46,41,16,19,76,0,1,0,0,0,0,1,1,0,Bueno,SUJETO DE CREDITO-EVALUABLE,[1]Alta_Propension,Cliente No Financiado,NO,
